img_src,name,speed_type,speed_frecuency,modules,price/GB,color,first_word_latency_ns,CAS_latency,price,link,rating_number,rating
https://m.media-amazon.com/images/I/41MI91eMJ7L.jpg,G.Skill Value 8 GB,DDR3,1600,2 x 4GB,4.924,Black,13.75,11,39.39,https://es.pcpartpicker.com/product/jnxfrH/gskill-memory-f31600c11d8gnt,2,5
//cdna.pcpartpicker.com/static/forever/images/product/ac4561a2d41601004a852798526bb606.256p.jpg,Patriot Signature Premium 8 GB,DDR4,2400,2 x 4GB,4.942,Black,14.167,17,39.54,https://es.pcpartpicker.com/product/LJCD4D/patriot-signature-premium-8-gb-2-x-4-gb-ddr4-2400-memory-psp48g2400kh1,2,4.5
https://m.media-amazon.com/images/I/41V8pCDVsqL.jpg,G.Skill Value 16 GB,DDR3,1600,2 x 8GB,2.491,Black,13.75,11,39.85,https://es.pcpartpicker.com/product/fvXfrH/gskill-memory-f31600c11d16gnt,1,5
https://m.media-amazon.com/images/I/31X2O7NYFQS.jpg,Mushkin Essentials 4 GB,DDR3,1333,2 x 2GB,9.975,Green,13.503,9,39.9,https://es.pcpartpicker.com/product/PzTmP6/mushkin-memory-996586,2,5
//cdna.pcpartpicker.com/static/forever/images/product/d1334d8a10d78ed00742d2c0d3962d0c.256p.jpg,Patriot Signature Premium 8 GB,DDR4,2666,2 x 4GB,5.05,Black,14.254,19,40.4,https://es.pcpartpicker.com/product/MZ448d/patriot-signature-premium-8-gb-2-x-4-gb-ddr4-2666-memory-psp48g2666kh1,2,5
https://m.media-amazon.com/images/I/41P7fSsYMIL.jpg,Mushkin Essentials 8 GB,DDR3,1600,2 x 4GB,5.149,Green,13.75,11,41.19,https://es.pcpartpicker.com/product/RVNp99/mushkin-memory-997030,2,5
https://images-na.ssl-images-amazon.com/images/I/51po5SVKKFL.jpg,G.Skill Ripjaws 8 GB,DDR4,2133,2 x 4GB,5.219,Black / Blue,14.065,15,41.75,https://es.pcpartpicker.com/product/3YgPxr/gskill-memory-f42133c15d8grs,1,5
https://m.media-amazon.com/images/I/41r7-3L4x+L.jpg,Corsair XMS3 4 GB,DDR3,1600,1 x 4GB,10.553,Black / White,13.75,11,42.21,https://es.pcpartpicker.com/product/V8Gkcf/corsair-memory-cmx4gx3m1a1600c11,7,4.7
//cdna.pcpartpicker.com/static/forever/images/product/6eb4ae2ff1dc35b37eaa61334be04aca.256p.jpg,Patriot Signature 8 GB,DDR3,1600,2 x 4GB,5.315,Blue / Silver,13.75,11,42.52,https://es.pcpartpicker.com/product/HvyFf7/patriot-memory-psd38g1600kh,12,4.6
//cdna.pcpartpicker.com/static/forever/images/product/50646eca33dcda69d7dc9c9e82022f59.256p.jpg,G.Skill Aegis 8 GB,DDR4,2400,2 x 4GB,5.336,Black / Red,14.167,17,42.69,https://es.pcpartpicker.com/product/nbndnQ/gskill-aegis-8-gb-2-x-4-gb-ddr4-2400-memory-f4-2400c17d-8gis,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/ae4cf390800143ac01c481a22b0b21dc.256p.jpg,G.Skill Ripjaws X 8 GB,DDR3,1333,2 x 4GB,5.424,Black / Red,13.503,9,43.39,https://es.pcpartpicker.com/product/dK9KHx/gskill-memory-f310666cl9d8gbxl,8,4.6
https://m.media-amazon.com/images/I/51iqyEmS0kL.jpg,G.Skill Ripjaws 8 GB,DDR3,1333,2 x 4GB,5.424,Black / Red,13.503,9,43.39,https://es.pcpartpicker.com/product/9xMFf7/gskill-memory-f310666cl9d8gbrl,15,4.3
https://m.media-amazon.com/images/I/41OAEsM3P6L.jpg,Patriot Signature 8 GB,DDR3,1333,1 x 8GB,5.486,Green,13.503,9,43.89,https://es.pcpartpicker.com/product/W2vRsY/patriot-memory-psd38g13332,1,5
