img_src,name,core_count,core_clock_GHz,boost_clock_GHz,tdp_W,integrated_graphics,price,link,socket,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/e466732c63d1d636cf13e256bb7cf5ff.256p.jpg,Intel Core i7-7700K,4,4.2,4.5,91,Intel HD Graphics 630,430,https://es.pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k,LGA1151,307,4.7
//cdna.pcpartpicker.com/static/forever/images/product/3760e89d1820da393f084e2c18a62e3b.256p.jpg,Intel Core i7-9700K,8,3.6,4.9,95,Intel UHD Graphics 630,435,https://es.pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,LGA1151,223,4.8
//cdna.pcpartpicker.com/static/forever/images/product/7d225094c05f3106b9e7aab3873a6631.256p.jpg,AMD Ryzen 7 3800XT,8,3.9,4.7,105,,436.9,https://es.pcpartpicker.com/product/9wfFf7/amd-ryzen-7-3800xt-39-ghz-8-core-processor-100-100000279wof,AM4,20,4.8
//cdna.pcpartpicker.com/static/forever/images/product/42a54c308242991186f4f6a3fde7603d.256p.jpg,Intel Core i3-4130,2,3.4,,54,Intel HD Graphics 4400,438.9,https://es.pcpartpicker.com/product/KDGkcf/intel-cpu-bx80646i34130,LGA1150,38,4.6
//cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg,Intel Core i7-13700K,16,3.4,5.4,125,Intel UHD Graphics 770,444.8,https://es.pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,LGA1700,12,5
//cdna.pcpartpicker.com/static/forever/images/product/a289a7b9f1db29fdb4364c09d7d012f8.256p.jpg,Intel Core i5-9600KF,6,3.7,4.6,95,,459.67,https://es.pcpartpicker.com/product/TJwkcf/intel-core-i5-9600kf-37-ghz-6-core-oemtray-processor-cm8068403874410,LGA1151,2,5
//cdna.pcpartpicker.com/static/forever/images/product/c96f59d30a42a70cb371b93507d7eea1.256p.jpg,Intel Core i3-8350K,4,4,,91,Intel UHD Graphics 630,460.08,https://es.pcpartpicker.com/product/fCs8TW/intel-core-i3-8350k-40ghz-quad-core-processor-bx80684i38350k,LGA1151,14,4.7
//cdna.pcpartpicker.com/static/forever/images/product/14adcd1fc88ebf386b746037c966b6af.256p.jpg,AMD Ryzen 9 3900X,12,3.8,4.6,105,,464.69,https://es.pcpartpicker.com/product/tLCD4D/amd-ryzen-9-3900x-36-ghz-12-core-processor-100-100000023box,AM4,273,4.9
https://m.media-amazon.com/images/I/41gxrpSTn6L.jpg,Intel Xeon E3-1245 V6,4,3.7,4.1,73,Intel HD Graphics P630,466.81,https://es.pcpartpicker.com/product/tds8TW/intel-xeon-e3-1245-v6-37ghz-quad-core-processor-bx80677e31245v6,LGA1151,1,5
https://m.media-amazon.com/images/I/41ckT1AzbYL.jpg,Intel Core i9-10900F,10,2.8,5.2,65,,467.9,https://es.pcpartpicker.com/product/DYtKHx/intel-core-i9-10900f-28-ghz-10-core-processor-bx8070110900f,LGA1200,4,4.5
