img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
//cdna.pcpartpicker.com/static/forever/images/product/06b7b674730d8d5757ebe1e89975ec84.256p.jpg,Western Digital WD_BLACK,10 TB,0.039,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,390.9,https://es.pcpartpicker.com/product/zxyqqs/western-digital-wd_black-10-tb-35-7200rpm-internal-hard-drive-wd101fzbx,3,3.7
https://m.media-amazon.com/images/I/41QETEcW8xL.jpg,Intel 750,400 GB,0.971,SSD,,"2.5""",U.2,388.39,https://es.pcpartpicker.com/product/J7X2FT/intel-750-series-400-gb-25-solid-state-drive-ssdpe2mw400g4x1,3,5
//cdna.pcpartpicker.com/static/forever/images/product/65191cc3ee3e960ec9f353a76ee20235.256p.jpg,MSI SPATIUM M480,2 TB,0.193,SSD,,M.2,M.2 PCIe 4.0 X4,385,https://es.pcpartpicker.com/product/Zjstt6/msi-spatium-m480-2-tb-m2-2280-nvme-solid-state-drive-sm480n2tb,2,5
//cdna.pcpartpicker.com/static/forever/images/product/3a7b9a069c847e509654192111742930.256p.jpg,Seagate FireCuda 520,2 TB,0.192,SSD,,M.2,M.2 PCIe 4.0 X4,384.9,https://es.pcpartpicker.com/product/vMFKHx/seagate-firecuda-520-2-tb-m2-2280-nvme-solid-state-drive-zp2000gm3a002,8,5
//cdna.pcpartpicker.com/static/forever/images/product/77cfc76e4bad07d94ddb71ea975206a2.256p.jpg,Seagate IronWolf,12 TB,0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,383.96,https://es.pcpartpicker.com/product/ccCD4D/seagate-ironwolf-12tb-35-7200rpm-internal-hard-drive-st12000vn0007,1,5
//cdna.pcpartpicker.com/static/forever/images/product/362fc24c5aad6753a205a3233c768b9d.256p.jpg,Western Digital Red Plus,14 TB,0.027,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,382.8,https://es.pcpartpicker.com/product/NspzK8/western-digital-wd-red-plus-14-tb-35-7200rpm-internal-hard-drive-wd140efgx,1,5
//cdna.pcpartpicker.com/static/forever/images/product/aca8c2940d3cb4adfcce2ef39590c340.256p.jpg,Seagate IronWolf Pro,14 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,374.9,https://es.pcpartpicker.com/product/t7BTwP/seagate-ironwolf-pro-14tb-35-7200rpm-internal-hard-drive-st14000ne0008,1,5
https://images-na.ssl-images-amazon.com/images/I/41jS8jeMJgL.jpg,Toshiba PH3400U-1I72,4 TB,0.093,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,370.98,https://es.pcpartpicker.com/product/YLkwrH/toshiba-internal-hard-drive-ph3400u1i72,2,4
//cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg,Samsung 870 QVO,4 TB,0.092,SSD,,"2.5""",SATA 6.0 Gb/s,368.8,https://es.pcpartpicker.com/product/9k3mP6/samsung-870-qvo-4-tb-25-solid-state-drive-mz-77q4t0bam,4,5
https://m.media-amazon.com/images/I/41fw65-8tpL.jpg,Samsung 850 Evo,1 TB,0.365,SSD,,"2.5""",SATA 6.0 Gb/s,365.49,https://es.pcpartpicker.com/product/RbvZxr/samsung-internal-hard-drive-mz75e1t0bam,97,4.9
