img_src,name,chipset,memory_GB,core_clock_MHz,boost_clock_MHz,color,length_mm,price,link,rating_number, rating
//cdna.pcpartpicker.com/static/forever/images/product/48eea8a717330fc5dd5856b1fae65042.256p.jpg,MSI D6 VENTUS XS OC,GeForce GTX 1650 G6,4,1410,1620,Black / Silver,178,209.9,https://es.pcpartpicker.com/product/BW6qqs/msi-geforce-gtx-1650-g6-4-gb-d6-ventus-xs-oc-video-card-gtx-1650-d6-ventus-xs-oc,1,5
//cdna.pcpartpicker.com/static/forever/images/product/7a8d66854d65f497aca573e84772d861.256p.jpg,Asus CERBERUS,GeForce GTX 1050 Ti,4,1328,1442,Black / Red,203,212.03,https://es.pcpartpicker.com/product/Bzvbt6/asus-geforce-gtx-1050-ti-4gb-cerberus-video-card-cerberus-gtx1050ti-a4g,7,4.3
//cdna.pcpartpicker.com/static/forever/images/product/07ff8dc03a65e34edc811c97d838af9a.256p.jpg,MSI VENTUS XS OC,GeForce GTX 1650 G5,4,1485,1740,Black / White,170,212.8,https://es.pcpartpicker.com/product/THYLrH/msi-geforce-gtx-1650-4-gb-ventus-xs-oc-video-card-geforce-gtx-1650-ventus-xs-4g-oc,10,4.3
//cdna.pcpartpicker.com/static/forever/images/product/7001ed5112f8b2a682faebd487a8b397.256p.jpg,MSI D6 AERO ITX OC,GeForce GTX 1650 G6,4,1410,1620,Black / White,170,212.9,https://es.pcpartpicker.com/product/P2ZzK8/msi-geforce-gtx-1650-g6-4-gb-d6-aero-itx-oc-video-card-gtx-1650-d6-aero-itx-oc,1,3
https://m.media-amazon.com/images/I/41HaGJmu2-L.jpg,AMD 100-506115,Radeon Pro WX 3200,4,1250,1290,Blue / Black,168,219.69,https://es.pcpartpicker.com/product/h8MTwP/amd-radeon-pro-wx-3200-4-gb-video-card-100-506115,1,5
https://m.media-amazon.com/images/I/41wlHdf2QML.jpg,Gigabyte GV-N105TD5-4GD,GeForce GTX 1050 Ti,4,1290,1430,Black / Orange,172,220.99,https://es.pcpartpicker.com/product/8fx9TW/gigabyte-geforce-gtx-1050-ti-4gb-video-card-gv-n105td5-4gd,12,4.4
https://m.media-amazon.com/images/I/31zDtK2uG0L.jpg,Palit StormX,GeForce GTX 1050 Ti,4,1290,1392,Black,166,222.06,https://es.pcpartpicker.com/product/KHRFf7/palit-geforce-gtx-1050-ti-4gb-stormx-video-card-ne5105t018g1-1070f,4,4.8
https://m.media-amazon.com/images/I/51RIAs0jmrL.jpg,Asus TUF GAMING OC,GeForce GTX 1650 G6,4,1410,1680,Black,204,222.52,https://es.pcpartpicker.com/product/DnjBD3/asus-geforce-gtx-1650-g6-4-gb-tuf-gaming-oc-video-card-tuf-gtx1650-o4gd6-gaming,2,4.5
https://m.media-amazon.com/images/I/41oGIjAoi2L.jpg,Gigabyte EAGLE,Radeon RX 6500 XT,4,2310,2815,Black,192,223.9,https://es.pcpartpicker.com/product/JNjBD3/gigabyte-radeon-rx-6500-xt-4-gb-eagle-video-card-gv-r65xteagle-4gd,1,5
https://m.media-amazon.com/images/I/51lWSyy-3WL.jpg,MSI GT LP OC,GeForce GTX 1650 G5,4,1485,1695,Black,168,224.36,https://es.pcpartpicker.com/product/GyFKHx/msi-geforce-gtx-1650-4-gb-gt-lp-oc-video-card-gtx-1650-4gt-lp-oc,1,5
https://images-eu.ssl-images-amazon.com/images/I/41r2CgK6CSL.jpg,Asus TUF GAMING OC,Radeon RX 6500 XT,4,2310,2825,Black,250,225.74,https://es.pcpartpicker.com/product/PnrRsY/asus-radeon-rx-6500-xt-4-gb-tuf-gaming-oc-video-card-tuf-rx6500xt-o4g-gaming,1,4
https://m.media-amazon.com/images/I/41oShtaKt8L.jpg,Asus Phoenix OC,GeForce GTX 1650 G6,4,1410,1665,Black,178,226.06,https://es.pcpartpicker.com/product/j4nypg/asus-geforce-gtx-1650-g6-4-gb-phoenix-oc-video-card-ph-gtx1650-o4gd6-p,5,4.6
//cdna.pcpartpicker.com/static/forever/images/product/f9ba4a1f3b5884c73fc1e9c194f0335c.256p.jpg,Gigabyte WINDFORCE OC,GeForce GTX 1650 G6,4,1410,1650,Black / Silver,191,227,https://es.pcpartpicker.com/product/HcjNnQ/gigabyte-geforce-gtx-1650-g6-4-gb-windforce-oc-video-card-gv-n1656wf2oc-4gd,1,4
https://m.media-amazon.com/images/I/517kyrejBdL.jpg,Asus DUAL OC,GeForce GTX 1650 G5,4,1485,1755,Silver / Black,204,230.95,https://es.pcpartpicker.com/product/4CsmP6/asus-geforce-gtx-1650-4-gb-dual-oc-video-card-dual-gtx1650-o4g,5,3.8
//cdna.pcpartpicker.com/static/forever/images/product/191b726dc4937b30cc56a4a63adef075.256p.jpg,Gigabyte OC Low Profile,GeForce GTX 1650 G6,4,1410,1620,Black,167,231.61,https://es.pcpartpicker.com/product/drhmP6/gigabyte-geforce-gtx-1650-g6-4-gb-oc-low-profile-video-card-gv-n1656oc-4gl,1,4
https://images-na.ssl-images-amazon.com/images/I/51QnG5JSoNL.jpg,PowerColor Fighter OC,Radeon RX 6500 XT,4,2310,,Black,191,239.51,https://es.pcpartpicker.com/product/p8vdnQ/powercolor-radeon-rx-6500-xt-4-gb-fighter-oc-video-card-axrx-6500xt-4gbd6-dhoc,1,4
//cdna.pcpartpicker.com/static/forever/images/product/2c97511ad5dd91201e854d13f02be2b1.256p.jpg,PNY VCQP400-PB,Quadro P400,2,1070,1170,Black,145,240,https://es.pcpartpicker.com/product/VMkwrH/pny-quadro-p400-2gb-video-card-vcqp400-pb,1,4
//cdna.pcpartpicker.com/static/forever/images/product/889c1cced73393e0f678bc70c13e69cf.256p.jpg,AMD 100-505999,Radeon Pro WX 3100,4,925,1219,Blue,145,241.8,https://es.pcpartpicker.com/product/24X2FT/amd-radeon-pro-wx-3100-4gb-video-card-100-505999,3,4.3
https://images-fe.ssl-images-amazon.com/images/I/41N21nb7mqL.jpg,Gigabyte WINDFORCE OC,GeForce GTX 1650 G5,4,1485,1710,Black / Silver,191,242.45,https://es.pcpartpicker.com/product/pbNv6h/gigabyte-geforce-gtx-1650-4-gb-windforce-oc-video-card-gv-n1650oc-4gd,5,4
//cdna.pcpartpicker.com/static/forever/images/product/8ca2639464687ac3737d6b73ef8814fb.256p.jpg,PowerColor Red Dragon,Radeon RX 550 - 512,4,1100,1071,Black / Red,152,243.37,https://es.pcpartpicker.com/product/CH6qqs/powercolor-radeon-rx-550-512-4-gb-red-dragon-video-card-axrx-550-4gbd5-dh,1,5
//cdna.pcpartpicker.com/static/forever/images/product/5349b3d210a0561fa447dc7fdda7b123.256p.jpg,MSI MECH 2X OC,Radeon RX 6500 XT,4,2310,2825,Black / Silver,172,247.8,https://es.pcpartpicker.com/product/Xh8bt6/msi-radeon-rx-6500-xt-4-gb-mech-2x-oc-video-card-radeon-rx-6500-xt-mech-2x-4g-oc,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/c44fe134983047e334951615a7cde573.256p.jpg,Sapphire PULSE,Radeon RX 6500 XT,4,2310,2825,Black / Red,194,255.47,https://es.pcpartpicker.com/product/Mc7G3C/sapphire-radeon-rx-6500-xt-4-gb-pulse-video-card-11314-01-20g,1,5
